"id","year","major_head","estimate_type","major_category","minor_category","sub_category","amount"
1612,"2023-2024","037","Budget","Customs","Import Duties","Health Cess ",20.0
1613,"2023-2024","037","Budget","Customs","Import Duties","Agriculture Infrastructure and Development Cess (AIDC) ",28400.0
1614,"2023-2024","037","Budget","Customs","Export Duty","Agriculture Infrastructure and Development Cess (AIDC) ",50.0
1615,"2023-2024","037","Budget","Customs","Cesses on Exports","Agriculture Infrastructure and Development Cess (AIDC) ",1500.0
1616,"2023-2024","037","Budget","Customs","Other Receipts","Agriculture Infrastructure and Development Cess (AIDC) ",2000.0
1617,"2023-2024","037","Budget","Customs","Sale of Gold by Public Auction","Agriculture Infrastructure and Development Cess (AIDC) ",""
1618,"2023-2024","037","Budget","Customs","Sale Proceeds of Confiscated Goods","Agriculture Infrastructure and Development Cess (AIDC) ",""
1619,"2023-2024","037","Budget","Customs","Customs Duty on Gold","Agriculture Infrastructure and Development Cess (AIDC) ",""
1620,"2023-2024","037","Budget","Customs","Receipt of advance payment of Assesses","Agriculture Infrastructure and Development Cess (AIDC) ",""
1621,"2023-2024","037","Budget","Customs","Safeguard Duty","Agriculture Infrastructure and Development Cess (AIDC) ",""
1622,"2023-2024","037","Budget","Customs","Road and Infrastructure Cess","Agriculture Infrastructure and Development Cess (AIDC) ",""
1623,"2023-2024","037","Budget","Customs","Anti-dumping Duty","Agriculture Infrastructure and Development Cess (AIDC) ",""
1624,"2023-2024","038","Budget","Union Excise Duties","Basic Excise Duties","Agriculture Infrastructure and Development Cess (AIDC) ",33100.0
1625,"2023-2024","038","Budget","Union Excise Duties","Additional Duty of Excise on Motor Spirit","Agriculture Infrastructure and Development Cess (AIDC) ",""
1626,"2023-2024","038","Budget","Union Excise Duties","Additional Duty of Excise on High Speed Diesel Oil","Agriculture Infrastructure and Development Cess (AIDC) ",""
1627,"2023-2024","038","Budget","Union Excise Duties","National Calamity Contingent Duty","Agriculture Infrastructure and Development Cess (AIDC) ",7750.0
1628,"2023-2024","038","Budget","Union Excise Duties","Special Additional Excise Duties","Agriculture Infrastructure and Development Cess (AIDC) ",181500.0
1629,"2023-2024","038","Budget","Union Excise Duties","Special Additional Duty of Excise on Tobacco Products","Agriculture Infrastructure and Development Cess (AIDC) ",""
1630,"2023-2024","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Primary Education Cess ",""
1631,"2023-2024","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Secondary & Higher Education Cess ",""
1632,"2023-2024","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Crude Oil ",20540.0
1633,"2023-2024","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Bidi ",""
1634,"2023-2024","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Sugar ",""
1635,"2023-2024","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Automobiles ",""
1636,"2023-2024","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Others ",""
1637,"2023-2024","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Clean Environment Cess ",""
1638,"2023-2024","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Infrastructure Cess ",0.0
1639,"2023-2024","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Duty of Excise on Motor Spirit and High Speed Diesel Oil (Road and Infrastructure Cess) ",45110.0
1640,"2023-2024","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Agriculture Infrastructure and Development Cess (AIDC) ",51000.0
1641,"2023-2024","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Rubber ",""
1642,"2023-2024","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Jute ",""
1643,"2023-2024","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Tea ",""
1644,"2023-2024","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Oil and Oil Seeds ",""
1645,"2023-2024","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Cotton ",""
1646,"2023-2024","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Tobacco ",""
1647,"2023-2024","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Paper ",""
1648,"2023-2024","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Salt ",""
1649,"2023-2024","038","Budget","Union Excise Duties","Auxiliary Duties of Excise","Salt ",""
1650,"2023-2024","038","Budget","Union Excise Duties","Special Excise Duties","Salt ",""
1651,"2023-2024","038","Budget","Union Excise Duties","Excise Duty on generation of Power","Salt ",""
1652,"2023-2024","038","Budget","Union Excise Duties","Additional Excise Duty on Textile and Textile Articles","Salt ",""
1653,"2023-2024","038","Budget","Union Excise Duties","Additional Duty of Excise on Mineral Product","Salt ",""
1654,"2023-2024","038","Budget","Union Excise Duties","Additional Excise Duties in lieu of Sales Tax","Salt ",""
1655,"2023-2024","038","Budget","Union Excise Duties","Additional Excise Duties on TV Sets","Salt ",""
1656,"2023-2024","038","Budget","Union Excise Duties","Other Duties","Salt ",""
1657,"2023-2024","038","Budget","Union Excise Duties","Sale of Confiscated Goods","Salt ",""
1658,"2023-2024","038","Budget","Union Excise Duties","Miscellaneous Receipts","Salt ",""
1659,"2023-2024","044","Budget","Service Tax","Collections","Salt ",500.0
1660,"2023-2024","044","Budget","Service Tax","Primary Education Cess","Salt ",""
1661,"2023-2024","044","Budget","Service Tax","Secondary & Higher Education Cess","Salt ",""
1662,"2023-2024","044","Budget","Service Tax","Swachh Bharat Cess","Salt ",""
1663,"2023-2024","044","Budget","Service Tax","Krishi Kalyan Cess","Salt ",""
1664,"2023-2024","044","Budget","Service Tax","Other Receipts","Salt ",""
1665,"2023-2024","005","Budget","Goods and Services Tax (GST)","Central Goods and Services Tax (CGST)","Salt ",811600.0
1666,"2023-2024","008","Budget","Goods and Services Tax (GST)","Integrated Goods and Services Tax (IGST)","Salt ",""
1667,"2023-2024","009","Budget","Goods and Services Tax (GST)","GST Compensation Cess","Salt ",145000.0
1668,"2023-2024","040","Budget","Other Taxes and Duties on Commodities and Services","Taxes on Sale, Trade etc.","Salt ",""
1669,"2023-2024","045","Budget","Other Taxes and Duties on Commodities and Services","Other Taxes","Salt ",""
1670,"2023-2024","710","Budget","Taxes of Union Territories","Land Revenue","Salt ",28.44
1671,"2023-2024","710","Budget","Taxes of Union Territories","Stamps and Registration","Salt ",443.9
1672,"2023-2024","710","Budget","Taxes of Union Territories","State Excise Duties","Salt ",1890.0
1673,"2023-2024","710","Budget","Taxes of Union Territories","Sales Tax","Salt ",1665.0
1674,"2023-2024","710","Budget","Taxes of Union Territories","Taxes on Vehicles","Salt ",387.0
1675,"2023-2024","710","Budget","Taxes of Union Territories","Taxes on goods and passengers","Salt ",15.0
1676,"2023-2024","710","Budget","Taxes of Union Territories","Taxes and Duties on Electricity","Salt ",40.0
1677,"2023-2024","710","Budget","Taxes of Union Territories","Other Taxes and Duties","Salt ",4.1
1678,"2023-2024","007","Budget","Taxes of Union Territories","Union Territories  Goods and Services Tax (UTGST)","Salt ",3935.0
1679,"2023-2024","037","Budget","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Customs)","Salt ",-1030.0
1680,"2023-2024","038","Budget","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Union Excise)","Salt ",-7750.0
1681,"2023-2024","030","Budget","Taxes on Property Capital and other Transactions","Stamps Duty and Registration Fees","Stamps Duty Judicial - Court Fees released in Stamps ",""
1682,"2022-2023","020","Actual","Corporation Tax","Collections","None",725878.24
1683,"2022-2023","020","Actual","Corporation Tax","Surcharge","None",55103.89
1684,"2022-2023","020","Actual","Corporation Tax","Health and Education Cess","None",31017.7
1685,"2022-2023","020","Actual","Corporation Tax","Penalties","None",79.28
1686,"2022-2023","020","Actual","Corporation Tax","Interest Recoveries","None",2111.91
1687,"2022-2023","020","Actual","Corporation Tax","Tax on Discounted Profits of Domestic Companies","None",1923.59
1688,"2022-2023","020","Actual","Corporation Tax","Tax on Distributed Income to Unit Holders","None",9715.92
1689,"2022-2023","020","Actual","Corporation Tax","Miscellaneous Receipts","None",3.11
1690,"2022-2023","021","Actual","Taxes on Income","Collections","None",718827.05
1691,"2022-2023","021","Actual","Taxes on Income","Surcharge","None",53914.25
1692,"2022-2023","021","Actual","Taxes on Income","Health and Education Cess","None",30791.59
1693,"2022-2023","021","Actual","Taxes on Income","Penalties","None",193.57
1694,"2022-2023","021","Actual","Taxes on Income","Interest Recoveries","None",3591.23
1695,"2022-2023","021","Actual","Taxes on Income","Tax Under Black Money","None",57.84
1696,"2022-2023","021","Actual","Taxes on Income","Miscellaneous Receipts","None",845.79
1697,"2022-2023","034","Actual","Taxes on Income","Security Transaction Tax","None",25085.37
1698,"2022-2023","023","Actual","Taxes on Income","Hotel Receipts Tax","None",0.66
1699,"2022-2023","024","Actual","Taxes on Income","Interest Tax","None",8.46
1700,"2022-2023","026","Actual","Taxes on Income","Fringe Benefit Tax","None",-74.56
1701,"2022-2023","028","Actual","Taxes on Income","Other Taxes on Income and Expenditure","Expenditure Tax ",15.51
1702,"2022-2023","028","Actual","Taxes on Income","Other Taxes on Income and Expenditure","Income Declaration Scheme, 2016 ",0.21
1703,"2022-2023","028","Actual","Taxes on Income","Other Taxes on Income and Expenditure","Other Receipts ",2.77
1704,"2022-2023","028","Actual","Taxes on Income","Krishi Kalyan Cess","Other Receipts ",0.01
1705,"2022-2023","028","Actual","Taxes on Income","Taxation and Investment Regime for PM Garib Kalyan Yojana 2016","Other Receipts ",0.01
1706,"2022-2023","031","Actual","Wealth Tax","Estate Duty","Other Receipts ",1.06
1707,"2022-2023","032","Actual","Wealth Tax","Taxes on Wealth","Other Receipts ",-10.28
1708,"2022-2023","036","Actual","Commodity Transaction Tax","Collections under Commodity Transaction Tax","Other Receipts ",736.3
1709,"2022-2023","036","Actual","Commodity Transaction Tax","Gold Monetization Scheme","Other Receipts ",0.0
1710,"2022-2023","037","Actual","Customs","Import Duties","Basic Duties (including through Debit of Scrips) ",167638.71
1711,"2022-2023","037","Actual","Customs","Import Duties","Basic Duties (including through Debit of Scrips) Other than debits of Scrips",167638.71
1712,"2022-2023","037","Actual","Customs","Import Duties","Basic Duties (including through Debit of Scrips) Through Debit in Ledger due to various scrip based schemes",0.0
1713,"2022-2023","037","Actual","Customs","Import Duties","Additional Duty on Customs(CVD) ",0.0
1714,"2022-2023","037","Actual","Customs","Import Duties","National Calamity Contingent Duty ",831.7
1715,"2022-2023","037","Actual","Customs","Import Duties","Primary Education Cess ",0.0
1716,"2022-2023","037","Actual","Customs","Import Duties","Secondary and Higher Education Cess ",0.0
1717,"2022-2023","037","Actual","Customs","Import Duties","Social Welfare Surcharge ",16178.79
1718,"2022-2023","037","Actual","Customs","Import Duties","Health Cess ",24.01
1719,"2022-2023","037","Actual","Customs","Import Duties","Agriculture Infrastructure and Development Cess (AIDC) ",23132.87
1720,"2022-2023","037","Actual","Customs","Export Duty","Agriculture Infrastructure and Development Cess (AIDC) ",-1549.72
1721,"2022-2023","037","Actual","Customs","Cesses on Exports","Agriculture Infrastructure and Development Cess (AIDC) ",852.44
1722,"2022-2023","037","Actual","Customs","Other Receipts","Agriculture Infrastructure and Development Cess (AIDC) ",2456.25
1723,"2022-2023","037","Actual","Customs","Sale of Gold by Public Auction","Agriculture Infrastructure and Development Cess (AIDC) ",2.09
1724,"2022-2023","037","Actual","Customs","Sale Proceeds of Confiscated Goods","Agriculture Infrastructure and Development Cess (AIDC) ",2410.06
1725,"2022-2023","037","Actual","Customs","Customs Duty on Gold","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1726,"2022-2023","037","Actual","Customs","Receipt of advance payment of Assesses","Agriculture Infrastructure and Development Cess (AIDC) ",166.95
1727,"2022-2023","037","Actual","Customs","Safeguard Duty","Agriculture Infrastructure and Development Cess (AIDC) ",0.31
1728,"2022-2023","037","Actual","Customs","Road and Infrastructure Cess","Agriculture Infrastructure and Development Cess (AIDC) ",2.55
1729,"2022-2023","037","Actual","Customs","Anti-dumping Duty","Agriculture Infrastructure and Development Cess (AIDC) ",1225.08
1730,"2022-2023","038","Actual","Union Excise Duties","Basic Excise Duties","Agriculture Infrastructure and Development Cess (AIDC) ",32327.21
1731,"2022-2023","038","Actual","Union Excise Duties","Additional Duty of Excise on Motor Spirit","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1732,"2022-2023","038","Actual","Union Excise Duties","Additional Duty of Excise on High Speed Diesel Oil","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1733,"2022-2023","038","Actual","Union Excise Duties","National Calamity Contingent Duty","Agriculture Infrastructure and Development Cess (AIDC) ",7168.3
1734,"2022-2023","038","Actual","Union Excise Duties","Special Additional Excise Duties","Agriculture Infrastructure and Development Cess (AIDC) ",147163.79
1735,"2022-2023","038","Actual","Union Excise Duties","Special Additional Duty of Excise on Tobacco Products","Agriculture Infrastructure and Development Cess (AIDC) ",0.03
1736,"2022-2023","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Primary Education Cess ",0.68
1737,"2022-2023","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Secondary & Higher Education Cess ",0.23
1738,"2022-2023","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Crude Oil ",21497.14
1739,"2022-2023","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Bidi ",0.05
1740,"2022-2023","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Sugar ",0.29
1741,"2022-2023","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Automobiles ",0.0
1742,"2022-2023","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Others ",0.0
1743,"2022-2023","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Clean Environment Cess ",19.75
1744,"2022-2023","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Infrastructure Cess ",0.0
1745,"2022-2023","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Duty of Excise on Motor Spirit and High Speed Diesel Oil (Road and Infrastructure Cess) ",59232.4
1746,"2022-2023","038","Actual","Union Excise Duties","Cesses administrated by Department of Revenue","Agriculture Infrastructure and Development Cess (AIDC) ",51009.16
1747,"2022-2023","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Rubber ",0.0
1748,"2022-2023","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Jute ",0.01
1749,"2022-2023","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Tea ",0.01
1750,"2022-2023","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Oil and Oil Seeds ",0.0
1751,"2022-2023","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Cotton ",0.0
1752,"2022-2023","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Tobacco ",0.03
1753,"2022-2023","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Paper ",0.0
1754,"2022-2023","038","Actual","Union Excise Duties","Cesses administered by Other Departments","Salt ",0.0
1755,"2022-2023","038","Actual","Union Excise Duties","Auxiliary Duties of Excise","Salt ",-36.26
1756,"2022-2023","038","Actual","Union Excise Duties","Special Excise Duties","Salt ",438.03
1757,"2022-2023","038","Actual","Union Excise Duties","Excise Duty on generation of Power","Salt ",0.0
1758,"2022-2023","038","Actual","Union Excise Duties","Additional Excise Duty on Textile and Textile Articles","Salt ",0.0
1759,"2022-2023","038","Actual","Union Excise Duties","Additional Duty of Excise on Mineral Product","Salt ",0.0
1760,"2022-2023","038","Actual","Union Excise Duties","Additional Excise Duties in lieu of Sales Tax","Salt ",-0.35
1761,"2022-2023","038","Actual","Union Excise Duties","Additional Excise Duties on TV Sets","Salt ",-1.73
1762,"2022-2023","038","Actual","Union Excise Duties","Other Duties","Salt ",25.59
1763,"2022-2023","038","Actual","Union Excise Duties","Sale of Confiscated Goods","Salt ",0.12
1764,"2022-2023","038","Actual","Union Excise Duties","Miscellaneous Receipts","Salt ",155.63
1765,"2022-2023","044","Actual","Service Tax","Collections","Salt ",413.07
1766,"2022-2023","044","Actual","Service Tax","Primary Education Cess","Salt ",2.5
1767,"2022-2023","044","Actual","Service Tax","Secondary & Higher Education Cess","Salt ",1.22
1768,"2022-2023","044","Actual","Service Tax","Swachh Bharat Cess","Salt ",7.98
1769,"2022-2023","044","Actual","Service Tax","Krishi Kalyan Cess","Salt ",6.0
1770,"2022-2023","044","Actual","Service Tax","Other Receipts","Salt ",0.0
1771,"2022-2023","005","Actual","Goods and Services Tax (GST)","Central Goods and Services Tax (CGST)","Salt ",718521.75
1772,"2022-2023","008","Actual","Goods and Services Tax (GST)","Integrated Goods and Services Tax (IGST)","Salt ",4748.29
1773,"2022-2023","009","Actual","Goods and Services Tax (GST)","GST Compensation Cess","Salt ",125862.41
1774,"2022-2023","040","Actual","Other Taxes and Duties on Commodities and Services","Taxes on Sale, Trade etc.","Salt ",0.0
1775,"2022-2023","045","Actual","Other Taxes and Duties on Commodities and Services","Other Taxes","Salt ",3724.25
1776,"2022-2023","710","Actual","Taxes of Union Territories","Land Revenue","Salt ",287.95
1777,"2022-2023","710","Actual","Taxes of Union Territories","Stamps and Registration","Salt ",367.55
1778,"2022-2023","710","Actual","Taxes of Union Territories","State Excise Duties","Salt ",1458.97
1779,"2022-2023","710","Actual","Taxes of Union Territories","Sales Tax","Salt ",1317.52
1780,"2022-2023","710","Actual","Taxes of Union Territories","Taxes on Vehicles","Salt ",473.36
1781,"2022-2023","710","Actual","Taxes of Union Territories","Taxes on goods and passengers","Salt ",12.43
1782,"2022-2023","710","Actual","Taxes of Union Territories","Taxes and Duties on Electricity","Salt ",25.39
1783,"2022-2023","710","Actual","Taxes of Union Territories","Other Taxes and Duties","Salt ",0.0
1784,"2022-2023","007","Actual","Taxes of Union Territories","Union Territories  Goods and Services Tax (UTGST)","Salt ",4768.12
1785,"2022-2023","037","Actual","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Customs)","Salt ",-831.7
1786,"2022-2023","038","Actual","Less-NCCD transferred to the National Disaster Response Fund","NCCD (Union Excise)","Salt ",-7168.3
1787,"2022-2023","030","Actual","Taxes on Property Capital and other Transactions","Stamps Duty and Registration Fees","Stamps Duty Judicial - Court Fees released in Stamps ",0.2
1788,"2023-2024","020","Budget","Corporation Tax","Penalties","None",0.0
1789,"2023-2024","020","Budget","Corporation Tax","Interest Recoveries","None",0.0
1790,"2023-2024","020","Budget","Corporation Tax","Tax on Discounted Profits of Domestic Companies","None",0.0
1791,"2023-2024","020","Budget","Corporation Tax","Tax on Distributed Income to Unit Holders","None",0.0
1792,"2023-2024","020","Budget","Corporation Tax","Miscellaneous Receipts","None",0.0
1793,"2023-2024","021","Budget","Taxes on Income","Penalties","None",0.0
1794,"2023-2024","021","Budget","Taxes on Income","Interest Recoveries","None",0.0
1795,"2023-2024","021","Budget","Taxes on Income","Tax Under Black Money","None",0.0
1796,"2023-2024","021","Budget","Taxes on Income","Miscellaneous Receipts","None",0.0
1797,"2023-2024","023","Budget","Taxes on Income","Hotel Receipts Tax","None",0.0
1798,"2023-2024","024","Budget","Taxes on Income","Interest Tax","None",0.0
1799,"2023-2024","026","Budget","Taxes on Income","Fringe Benefit Tax","None",0.0
1800,"2023-2024","028","Budget","Taxes on Income","Other Taxes on Income and Expenditure","Expenditure Tax ",0.0
1801,"2023-2024","028","Budget","Taxes on Income","Other Taxes on Income and Expenditure","Income Declaration Scheme, 2016 ",0.0
1802,"2023-2024","028","Budget","Taxes on Income","Other Taxes on Income and Expenditure","Other Receipts ",0.0
1803,"2023-2024","028","Budget","Taxes on Income","Krishi Kalyan Cess","Other Receipts ",0.0
1804,"2023-2024","028","Budget","Taxes on Income","Taxation and Investment Regime for PM Garib Kalyan Yojana 2016","Other Receipts ",0.0
1805,"2023-2024","031","Budget","Wealth Tax","Estate Duty","Other Receipts ",0.0
1806,"2023-2024","032","Budget","Wealth Tax","Taxes on Wealth","Other Receipts ",0.0
1807,"2023-2024","036","Budget","Commodity Transaction Tax","Collections under Commodity Transaction Tax","Other Receipts ",0.0
1808,"2023-2024","036","Budget","Commodity Transaction Tax","Gold Monetization Scheme","Other Receipts ",0.0
1809,"2023-2024","037","Budget","Customs","Import Duties","Basic Duties (including through Debit of Scrips) ",180600.0
1810,"2023-2024","037","Budget","Customs","Import Duties","Additional Duty on Customs(CVD) ",0.0
1811,"2023-2024","037","Budget","Customs","Import Duties","Primary Education Cess ",0.0
1812,"2023-2024","037","Budget","Customs","Import Duties","Secondary and Higher Education Cess ",0.0
1813,"2023-2024","037","Budget","Customs","Sale of Gold by Public Auction","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1814,"2023-2024","037","Budget","Customs","Sale Proceeds of Confiscated Goods","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1815,"2023-2024","037","Budget","Customs","Customs Duty on Gold","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1816,"2023-2024","037","Budget","Customs","Receipt of advance payment of Assesses","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1817,"2023-2024","037","Budget","Customs","Safeguard Duty","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1818,"2023-2024","037","Budget","Customs","Road and Infrastructure Cess","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1819,"2023-2024","037","Budget","Customs","Anti-dumping Duty","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1820,"2023-2024","038","Budget","Union Excise Duties","Additional Duty of Excise on Motor Spirit","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1821,"2023-2024","038","Budget","Union Excise Duties","Additional Duty of Excise on High Speed Diesel Oil","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1822,"2023-2024","038","Budget","Union Excise Duties","Special Additional Duty of Excise on Tobacco Products","Agriculture Infrastructure and Development Cess (AIDC) ",0.0
1823,"2023-2024","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Primary Education Cess ",0.0
1824,"2023-2024","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Secondary & Higher Education Cess ",0.0
1825,"2023-2024","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Bidi ",0.0
1826,"2023-2024","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Sugar ",0.0
1827,"2023-2024","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Cess on Automobiles ",0.0
1828,"2023-2024","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Others ",0.0
1829,"2023-2024","038","Budget","Union Excise Duties","Cesses administrated by Department of Revenue","Clean Environment Cess ",0.0
1830,"2023-2024","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Rubber ",0.0
1831,"2023-2024","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Jute ",0.0
1832,"2023-2024","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Tea ",0.0
1833,"2023-2024","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Oil and Oil Seeds ",0.0
1834,"2023-2024","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Cotton ",0.0
1835,"2023-2024","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Tobacco ",0.0
1836,"2023-2024","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Paper ",0.0
1837,"2023-2024","038","Budget","Union Excise Duties","Cesses administered by Other Departments","Salt ",0.0
1838,"2023-2024","038","Budget","Union Excise Duties","Auxiliary Duties of Excise","Salt ",0.0
1839,"2023-2024","038","Budget","Union Excise Duties","Special Excise Duties","Salt ",0.0
1840,"2023-2024","038","Budget","Union Excise Duties","Excise Duty on generation of Power","Salt ",0.0
1841,"2023-2024","038","Budget","Union Excise Duties","Additional Excise Duty on Textile and Textile Articles","Salt ",0.0
1842,"2023-2024","038","Budget","Union Excise Duties","Additional Duty of Excise on Mineral Product","Salt ",0.0
1843,"2023-2024","038","Budget","Union Excise Duties","Additional Excise Duties in lieu of Sales Tax","Salt ",0.0
1844,"2023-2024","038","Budget","Union Excise Duties","Additional Excise Duties on TV Sets","Salt ",0.0
1845,"2023-2024","038","Budget","Union Excise Duties","Other Duties","Salt ",0.0
1846,"2023-2024","038","Budget","Union Excise Duties","Sale of Confiscated Goods","Salt ",0.0
1847,"2023-2024","038","Budget","Union Excise Duties","Miscellaneous Receipts","Salt ",0.0
1848,"2023-2024","044","Budget","Service Tax","Primary Education Cess","Salt ",0.0
1849,"2023-2024","044","Budget","Service Tax","Secondary & Higher Education Cess","Salt ",0.0
1850,"2023-2024","044","Budget","Service Tax","Swachh Bharat Cess","Salt ",0.0
1851,"2023-2024","044","Budget","Service Tax","Krishi Kalyan Cess","Salt ",0.0
1852,"2023-2024","044","Budget","Service Tax","Other Receipts","Salt ",0.0
1853,"2023-2024","008","Budget","Goods and Services Tax (GST)","Integrated Goods and Services Tax (IGST)","Salt ",0.0
1854,"2023-2024","040","Budget","Other Taxes and Duties on Commodities and Services","Taxes on Sale, Trade etc.","Salt ",0.0
1855,"2023-2024","045","Budget","Other Taxes and Duties on Commodities and Services","Other Taxes","Salt ",0.0
1856,"2023-2024","030","Budget","Taxes on Property Capital and other Transactions","Stamps Duty and Registration Fees","Stamps Duty Judicial - Court Fees released in Stamps ",0.0
1857,"2023-2024","020","Revised","Corporation Tax","Collections","None",828675.0
1858,"2023-2024","020","Revised","Corporation Tax","Surcharge","None",59000.0
1859,"2023-2024","020","Revised","Corporation Tax","Health and Education Cess","None",35000.0
1860,"2023-2024","020","Revised","Corporation Tax","Penalties","None",0.0
1861,"2023-2024","020","Revised","Corporation Tax","Interest Recoveries","None",0.0
1862,"2023-2024","020","Revised","Corporation Tax","Tax on Discounted Profits of Domestic Companies","None",0.0
1863,"2023-2024","020","Revised","Corporation Tax","Tax on Distributed Income to Unit Holders","None",0.0
1864,"2023-2024","020","Revised","Corporation Tax","Miscellaneous Receipts","None",0.0
1865,"2023-2024","021","Revised","Taxes on Income","Collections","None",887325.0
1866,"2023-2024","021","Revised","Taxes on Income","Surcharge","None",65000.0
1867,"2023-2024","021","Revised","Taxes on Income","Health and Education Cess","None",38000.0
1868,"2023-2024","021","Revised","Taxes on Income","Penalties","None",0.0
1869,"2023-2024","021","Revised","Taxes on Income","Interest Recoveries","None",0.0
1870,"2023-2024","021","Revised","Taxes on Income","Tax Under Black Money","None",0.0
1871,"2023-2024","021","Revised","Taxes on Income","Miscellaneous Receipts","None",0.0
1872,"2023-2024","034","Revised","Taxes on Income","Security Transaction Tax","None",32000.0
1873,"2023-2024","023","Revised","Taxes on Income","Hotel Receipts Tax","None",0.0
1874,"2023-2024","024","Revised","Taxes on Income","Interest Tax","None",0.0
1875,"2023-2024","026","Revised","Taxes on Income","Fringe Benefit Tax","None",0.0
1876,"2023-2024","028","Revised","Taxes on Income","Other Taxes on Income and Expenditure","Expenditure Tax ",0.0
1877,"2023-2024","028","Revised","Taxes on Income","Other Taxes on Income and Expenditure","Income Declaration Scheme, 2016 ",0.0
1878,"2023-2024","028","Revised","Taxes on Income","Other Taxes on Income and Expenditure","Other Receipts ",0.0
1879,"2023-2024","028","Revised","Taxes on Income","Krishi Kalyan Cess","Other Receipts ",0.0
1880,"2023-2024","028","Revised","Taxes on Income","Taxation and Investment Regime for PM Garib Kalyan Yojana 2016","Other Receipts ",0.0
1881,"2023-2024","031","Revised","Wealth Tax","Estate Duty","Other Receipts ",0.0
1882,"2023-2024","032","Revised","Wealth Tax","Taxes on Wealth","Other Receipts ",0.0
1883,"2023-2024","036","Revised","Commodity Transaction Tax","Collections under Commodity Transaction Tax","Other Receipts ",0.0
1884,"2023-2024","036","Revised","Commodity Transaction Tax","Gold Monetization Scheme","Other Receipts ",0.0
